"","url","catalogNumber","family","subfamily","genus","specificEpithet","scientific_name","typeStatus","stateProvince","country","dateIdentified","habitat","minimumElevationInMeters","geojson.type","decimal_latitude","decimal_longitude"
"3521","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173120","casent0173120","formicidae","myrmicinae","Crematogaster","scutellaris","crematogaster scutellaris","","","","","","","point","43.34","11.07"
"3522","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173180","casent0173180","formicidae","myrmicinae","Crematogaster","scutellaris","crematogaster scutellaris","","","","2008-04-30","","","point","45.4","3.46"
"3523","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173308","casent0173308","formicidae","myrmicinae","Crematogaster","curvispinosa","crematogaster curvispinosa","","Galapagos","","2007-12-31","En inspecciones de cuarentena SICGAL En pi as, colecta manual en procedimiento cuarentenario. No establecida","","point","-0.44583","-90.27028"
"3524","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173927","casent0173927","formicidae","myrmicinae","Crematogaster","acuta","crematogaster acuta","","Canindey","","2006-12-31","bosque bajo, river edge","","point","-24.1","-55.533333"
"3525","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173928","casent0173928","formicidae","myrmicinae","Crematogaster","acuta","crematogaster acuta","","Canindey","","2006-12-31","bosque en galer a","","point","-24.1","-55.46667"
"3526","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173929","casent0173929","formicidae","myrmicinae","Crematogaster","ampla","crematogaster ampla","","Canindey","","2006-12-31","bosque bajo, river edge","","point","-24.1","-55.533333"
"3527","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173930","casent0173930","formicidae","myrmicinae","Crematogaster","arata","crematogaster arata","","Canindey","","2006-12-31","bosque bajo inundado","","point","-24.1","-55.533333"
"3528","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173931","casent0173931","formicidae","myrmicinae","Crematogaster","bruchi","crematogaster bruchi","","Boquer n","","2006-12-31","Dry Chaco, scrub forest Foraging ants","176","point","-21.99785","-60.6308"
"3529","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173932","casent0173932","formicidae","myrmicinae","Crematogaster","chodati","crematogaster chodati","","Misiones","","2006-12-31","Gallery forest edge","152","point","-26.722017","-57.060482"
"3530","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173933","casent0173933","formicidae","myrmicinae","Crematogaster","chodati","crematogaster chodati","","Canindey","","2006-12-31","shaded lawn","","point","-24.083334","-55.5"
"3531","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173934","casent0173934","formicidae","myrmicinae","Crematogaster","corticicola","crematogaster corticicola","","Canindey","","2006-12-31","bosque medio","","point","-24.1","-55.533333"
